ms, degC
2021,23.90
4044,24.10
6069,24.20
8092,24.30
10115,24.50
12137,24.70
14159,24.80
16184,24.90
18206,25.00
20229,25.20
22251,25.40
24275,25.50
26298,25.70
28320,25.90
30343,26.00
32367,26.20
34390,26.30
36412,26.50
38436,26.70
40459,26.80
42481,26.90
44504,27.10
46528,27.30
48550,27.30
50573,27.40
52597,27.60
54620,27.70
56642,27.90
58667,28.00
60690,28.00
62712,28.20
64735,28.30
66759,28.40
68782,28.50
70804,28.60
72826,28.70
74851,28.80
76873,28.90
78896,29.00
80918,29.10
82942,29.20
84965,29.30
86987,29.4
89012,29.50
91034,29.70
93057,29.80
95079,29.90
97103,30.00
99127,30.00
101149,30.20