ms,degC
2021,23.00
4045,23.50
6068,23.70
8091,23.90
10115,24.20
12137,24.40
14159,24.70
16184,25.00
18207,25.20
20230,25.60
22252,25.80
24276,26.00
26300,26.30
28322,26.50
30345,26.80
32369,26.90
34393,27.20
36415,27.40
38437,27.60
40462,27.90
42485,28.00
44508,28.10
46530,28.30
48552,28.50
50577,28.70
52599,28.80
54622,28.90
56644,29.10
58669,29.20
60691,29.40
62713,29.60
64736,29.70
66760,29.80
68783,29.90
70805,30.20
72827,30.30
74850,30.40
76874,30.50
78897,30.60
80919,30.70
82942,30.90
84965,30.90
86987,31.10
89012,31.10
91035,31.20
93058,31.40
95080,31.50
97103,31.60
99126,31.70
101150,31.70